idx,mask_type,metric,region,method,value
16280,brush,ssim,full,baseline,0.8541356325149536
16280,brush,ssim,full,repaint,0.8791050314903259
16280,brush,ssim,full,bar,0.8611831665039062
16280,brush,ssim,hole,baseline,0.7020930647850037
16280,brush,ssim,hole,repaint,0.7823928594589233
16280,brush,ssim,hole,bar,0.727262020111084
16280,brush,ssim,known,baseline,0.9086158275604248
16280,brush,ssim,known,repaint,0.9137591123580933
16280,brush,ssim,known,bar,0.9091700911521912
14060,center,ssim,full,baseline,0.8347680568695068
14060,center,ssim,full,repaint,0.8485403060913086
14060,center,ssim,full,bar,0.845051646232605
14060,center,ssim,hole,baseline,0.6373276114463806
14060,center,ssim,hole,repaint,0.7159515619277954
14060,center,ssim,hole,bar,0.708381175994873
14060,center,ssim,known,baseline,0.8724632859230042
14060,center,ssim,known,repaint,0.8738541007041931
14060,center,ssim,known,bar,0.871144711971283
14060,half,ssim,full,baseline,0.6413326859474182
14060,half,ssim,full,repaint,0.6899653077125549
14060,half,ssim,full,bar,0.6992802619934082
14060,half,ssim,hole,baseline,0.4408690929412842
14060,half,ssim,hole,repaint,0.5521699786186218
14060,half,ssim,hole,bar,0.5483274459838867
14060,half,ssim,known,baseline,0.8417962789535522
14060,half,ssim,known,repaint,0.8277605772018433
14060,half,ssim,known,bar,0.8502329587936401
14060,brush,ssim,full,baseline,0.8143858909606934
14060,brush,ssim,full,repaint,0.8333548307418823
14060,brush,ssim,full,bar,0.8195446729660034
14060,brush,ssim,hole,baseline,0.7008288502693176
14060,brush,ssim,hole,repaint,0.7588072419166565
14060,brush,ssim,hole,bar,0.7206258177757263
14060,brush,ssim,known,baseline,0.85428386926651
14060,brush,ssim,known,repaint,0.8595470190048218
14060,brush,ssim,known,bar,0.8542994856834412
20977,center,ssim,full,baseline,0.8467020988464355
20977,center,ssim,full,repaint,0.8650113344192505
20977,center,ssim,full,bar,0.8630651235580444
20977,center,ssim,hole,baseline,0.5212593674659729
20977,center,ssim,hole,repaint,0.6332370638847351
20977,center,ssim,hole,bar,0.6168215274810791
20977,center,ssim,known,baseline,0.9088354110717773
20977,center,ssim,known,repaint,0.9092615842819214
20977,center,ssim,known,bar,0.9100778102874756
20977,half,ssim,full,baseline,0.5211601853370667
20977,half,ssim,full,repaint,0.6779434680938721
20977,half,ssim,full,bar,0.6929740905761719
20977,half,ssim,hole,baseline,0.16324099898338318
20977,half,ssim,hole,repaint,0.4692997336387634
20977,half,ssim,hole,bar,0.4934043884277344
20977,half,ssim,known,baseline,0.8790793418884277
20977,half,ssim,known,repaint,0.8865872025489807
20977,half,ssim,known,bar,0.8925439119338989
20977,brush,ssim,full,baseline,0.832295835018158
20977,brush,ssim,full,repaint,0.8525449633598328
20977,brush,ssim,full,bar,0.8411669731140137
20977,brush,ssim,hole,baseline,0.6358217000961304
20977,brush,ssim,hole,repaint,0.6922187805175781
20977,brush,ssim,hole,bar,0.6730371713638306
20977,brush,ssim,known,baseline,0.8980672955513
