metric,region,mask_type,method,n,mean,std,median,min,max,rank
psnr,hole,half,bar,100,11.949551458358764,2.004749351628349,11.675227165222168,7.443507194519043,18.68749237060547,1
psnr,hole,half,repaint,100,11.431483631134034,1.895570585604014,11.038992881774902,7.524438858032227,17.621612548828125,2
psnr,hole,half,baseline,100,10.69651846408844,2.0968108129073486,10.619091987609863,6.177656173706055,17.35013198852539,3
psnr,known,brush,repaint,100,31.810300426483153,2.2644653369203946,32.295061111450195,26.51297378540039,36.05116653442383,1
psnr,known,brush,bar,100,31.7680393409729,2.2317355733855804,31.76101303100586,26.586891174316406,35.786399841308594,2
psnr,known,brush,baseline,100,31.50401485443115,2.0848668452673875,31.706764221191406,26.44457244873047,35.51101303100586,3
psnr,known,center,bar,100,32.909382038116455,2.6569634973339404,33.34062576293945,26.70281982421875,37.71023178100586,1
psnr,known,center,baseline,100,32.78540742874146,2.546679336630765,33.444435119628906,26.70511245727539,37.38045120239258,2
psnr,known,center,repaint,100,32.66671220779419,2.64608381789352,32.976091384887695,26.702648162841797,37.30900573730469,3
psnr,known,half,baseline,100,32.44682710647583,2.527376885937511,32.45762634277344,26.704296112060547,39.391239166259766,1
psnr,known,half,bar,100,32.317904014587405,2.377536740103643,32.5781307220459,26.782686233520508,37.77326583862305,2
psnr,known,half,repaint,100,31.317713584899902,2.753427967137683,31.385424613952637,24.281131744384766,38.347190856933594,3
ssim,full,brush,repaint,100,0.8336811280250549,0.055101017552450206,0.8403717577457428,0.6496620178222656,0.9206299781799316,1
ssim,full,brush,bar,100,0.8278849506378174,0.055547012375620465,0.8377703130245209,0.651741087436676,0.9225817918777466,2
ssim,full,brush,baseline,100,0.8146557581424713,0.056556234299615774,0.8240748345851898,0.6308115124702454,0.9060038328170776,3
ssim,full,center,bar,100,0.8531418579816819,0.046348835976044576,0.858669102191925,0.6666333675384521,0.9271863698959351,1
ssim,full,center,repaint,100,0.8518760126829147,0.046565801603394824,0.8578730523586273,0.6716878414154053,0.9226380586624146,2
ssim,full,center,baseline,100,0.8392763209342956,0.04798731306556955,0.8445775210857391,0.6649154424667358,0.9105097055435181,3
ssim,full,half,bar,100,0.6922408598661423,0.06299754320449907,0.6907726228237152,0.5260668992996216,0.8277921676635742,1
ssim,full,half,repaint,100,0.6811129856109619,0.06539949935071976,0.68632972240448,0.5113561153411865,0.8320813179016113,2
